pregunta,respuesta
"Tengo Moho gris en mi cultivo de Passiflora spp., ¿qué hago?",Usa Pyrimethanil mediante Aspersión foliar. Riesgos a tener en cuenta: Posible irritación ocular. Baja toxicidad aguda.. Protección: Respetar el intervalo de reentrada (REI) de 12 horas.
¿Cómo controlo la Moho gris causada por  Botrytis cinerea  en Passiflora spp.?,El control de Moho gris en Passiflora spp. se realiza con Pyrimethanil (Aspersión foliar). Modo de acción: Anilinopirimidina (AP). Inhibe la biosíntesis de metionina..
¿Qué riesgos tiene el Pyrimethanil?,El Pyrimethanil presenta: Posible irritación ocular. Baja toxicidad aguda.. Para protegerte: Respetar el intervalo de reentrada (REI) de 12 horas.
¿Es peligroso el Pyrimethanil para la salud?,Respecto al Pyrimethanil: Posible irritación ocular. Baja toxicidad aguda.. Medidas de protección recomendadas: Respetar el intervalo de reentrada (REI) de 12 horas.
¿Cómo me protejo al aplicar Pyrimethanil?,Al usar Pyrimethanil debes saber que: Posible irritación ocular. Baja toxicidad aguda.. Para protegerte adecuadamente: Respetar el intervalo de reentrada (REI) de 12 horas.
¿El Pyrimethanil daña la piel o los ojos?,Sobre los riesgos del Pyrimethanil: Posible irritación ocular. Baja toxicidad aguda.. Se recomienda: Respetar el intervalo de reentrada (REI) de 12 horas.
¿Cómo se aplica el Pyrimethanil?,El Pyrimethanil se aplica mediante Aspersión foliar. Su acción: Anilinopirimidina (AP). Inhibe la biosíntesis de metionina.. Precauciones: Respetar el intervalo de reentrada (REI) de 12 horas.
¿Cuál es el modo de acción del Pyrimethanil?,El Pyrimethanil actúa como: Anilinopirimidina (AP). Inhibe la biosíntesis de metionina.. Se usa para controlar Moho gris en Passiflora spp..
¿Qué enfermedades trata el Pyrimethanil?,"El Pyrimethanil se usa para controlar Moho gris en Passiflora spp., aplicado por Aspersión foliar."
¿Qué EPP necesito para aplicar Pyrimethanil?,Para aplicar Pyrimethanil recuerda que Posible irritación ocular. Baja toxicidad aguda.. Las medidas de protección son: Respetar el intervalo de reentrada (REI) de 12 horas.
¿Qué fungicida uso para la Antracnosis en Passiflora spp.?,"Para controlar la Antracnosis en Passiflora spp. se recomienda Iprodione, aplicado por Aspersión foliar. Seguir instrucciones de etiqueta y usar EPP estándar."
"Tengo Antracnosis en mi cultivo de Passiflora spp., ¿qué hago?",Usa Iprodione mediante Aspersión foliar. Riesgos a tener en cuenta: Nivel de toxicidad bajo. Potencial clastogénico bajo.. Protección: Seguir instrucciones de etiqueta y usar EPP estándar.
¿Cómo controlo la Antracnosis causada por  Colletotrichum gloeosporioides  en Passiflora spp.?,El control de Antracnosis en Passiflora spp. se realiza con Iprodione (Aspersión foliar). Modo de acción: Dicarboximida. Inhibe la transducción de señales (MAP/Histidina quinasa)..
¿Qué riesgos tiene el Iprodione?,El Iprodione presenta: Nivel de toxicidad bajo. Potencial clastogénico bajo.. Para protegerte: Seguir instrucciones de etiqueta y usar EPP estándar.
¿Es peligroso el Iprodione para la salud?,Respecto al Iprodione: Nivel de toxicidad bajo. Potencial clastogénico bajo.. Medidas de protección recomendadas: Seguir instrucciones de etiqueta y usar EPP estándar.
¿Cómo me protejo al aplicar Iprodione?,Al usar Iprodione debes saber que: Nivel de toxicidad bajo. Potencial clastogénico bajo.. Para protegerte adecuadamente: Seguir instrucciones de etiqueta y usar EPP estándar.
¿El Iprodione daña la piel o los ojos?,Sobre los riesgos del Iprodione: Nivel de toxicidad bajo. Potencial clastogénico bajo.. Se recomienda: Seguir instrucciones de etiqueta y usar EPP estándar.
¿Cómo se aplica el Iprodione?,El Iprodione se aplica mediante Aspersión foliar. Su acción: Dicarboximida. Inhibe la transducción de señales (MAP/Histidina quinasa).. Precauciones: Seguir instrucciones de etiqueta y usar EPP estándar.
¿Cuál es el modo de acción del Iprodione?,El Iprodione actúa como: Dicarboximida. Inhibe la transducción de señales (MAP/Histidina quinasa).. Se usa para controlar Antracnosis en Passiflora spp..
¿Qué enfermedades trata el Iprodione?,"El Iprodione se usa para controlar Antracnosis en Passiflora spp., aplicado por Aspersión foliar."
¿Qué EPP necesito para aplicar Iprodione?,Para aplicar Iprodione recuerda que Nivel de toxicidad bajo. Potencial clastogénico bajo.. Las medidas de protección son: Seguir instrucciones de etiqueta y usar EPP estándar.
¿Qué fungicida uso para la Antracnosis en Passiflora spp.?,"Para controlar la Antracnosis en Passiflora spp. se recomienda Tiabendazol, aplicado por Tratamiento de semillas o aspersión. Manipular con cuidado durante el tratamiento de semillas."
"Tengo Antracnosis en mi cultivo de Passiflora spp., ¿qué hago?",Usa Tiabendazol mediante Tratamiento de semillas o aspersión. Riesgos a tener en cuenta: Toxicidad aguda baja. Irritación cutánea no reportada.. Protección: Manipular con cuidado durante el tratamiento de semillas.
¿Cómo controlo la Antracnosis causada por  Colletotrichum gloeosporioides  en Passiflora spp.?,El control de Antracnosis en Passiflora spp. se realiza con Tiabendazol (Tratamiento de semillas o aspersión). Modo de acción: Benzimidazol (MBC). Inhibe la polimerización de tubulina..
¿Qué riesgos tiene el Tiabendazol?,El Tiabendazol presenta: Toxicidad aguda baja. Irritación cutánea no reportada.. Para protegerte: Manipular con cuidado durante el tratamiento de semillas.
¿Es peligroso el Tiabendazol para la salud?,Respecto al Tiabendazol: Toxicidad aguda baja. Irritación cutánea no reportada.. Medidas de protección recomendadas: Manipular con cuidado durante el tratamiento de semillas.
¿Cómo me protejo al aplicar Tiabendazol?,Al usar Tiabendazol debes saber que: Toxicidad aguda baja. Irritación cutánea no reportada.. Para protegerte adecuadamente: Manipular con cuidado durante el tratamiento de semillas.
¿El Tiabendazol daña la piel o los ojos?,Sobre los riesgos del Tiabendazol: Toxicidad aguda baja. Irritación cutánea no reportada.. Se recomienda: Manipular con cuidado durante el tratamiento de semillas.
¿Cómo se aplica el Tiabendazol?,El Tiabendazol se aplica mediante Tratamiento de semillas o aspersión. Su acción: Benzimidazol (MBC). Inhibe la polimerización de tubulina.. Precauciones: Manipular con cuidado durante el tratamiento de semillas.
¿Cuál es el modo de acción del Tiabendazol?,El Tiabendazol actúa como: Benzimidazol (MBC). Inhibe la polimerización de tubulina.. Se usa para controlar Antracnosis en Passiflora spp..
¿Qué enfermedades trata el Tiabendazol?,"El Tiabendazol se usa para controlar Antracnosis en Passiflora spp., aplicado por Tratamiento de semillas o aspersión."
¿Qué EPP necesito para aplicar Tiabendazol?,Para aplicar Tiabendazol recuerda que Toxicidad aguda baja. Irritación cutánea no reportada.. Las medidas de protección son: Manipular con cuidado durante el tratamiento de semillas.
¿Qué fungicida uso para la Secadera en granadilla?,"Para controlar la Secadera en granadilla se recomienda Metil tiofanato, aplicado por Drench o localizado en el cuello. Rotación con SDHI o DMI para evitar resistencia. Higiene rigurosa."
"Tengo Secadera en mi cultivo de granadilla, ¿qué hago?",Usa Metil tiofanato mediante Drench o localizado en el cuello. Riesgos a tener en cuenta: Riesgo de sensibilización cutánea.. Protección: Rotación con SDHI o DMI para evitar resistencia. Higiene rigurosa.
¿Cómo controlo la Secadera causada por  Fusarium solani / oxysporum  en granadilla?,El control de Secadera en granadilla se realiza con Metil tiofanato (Drench o localizado en el cuello). Modo de acción: Tiofanato (MBC). Inhibidor de la mitosis y división celular..
¿Qué riesgos tiene el Metil tiofanato?,El Metil tiofanato presenta: Riesgo de sensibilización cutánea.. Para protegerte: Rotación con SDHI o DMI para evitar resistencia. Higiene rigurosa.
¿Es peligroso el Metil tiofanato para la salud?,Respecto al Metil tiofanato: Riesgo de sensibilización cutánea.. Medidas de protección recomendadas: Rotación con SDHI o DMI para evitar resistencia. Higiene rigurosa.
¿Cómo me protejo al aplicar Metil tiofanato?,Al usar Metil tiofanato debes saber que: Riesgo de sensibilización cutánea.. Para protegerte adecuadamente: Rotación con SDHI o DMI para evitar resistencia. Higiene rigurosa.
¿El Metil tiofanato daña la piel o los ojos?,Sobre los riesgos del Metil tiofanato: Riesgo de sensibilización cutánea.. Se recomienda: Rotación con SDHI o DMI para evitar resistencia. Higiene rigurosa.
¿Cómo se aplica el Metil tiofanato?,El Metil tiofanato se aplica mediante Drench o localizado en el cuello. Su acción: Tiofanato (MBC). Inhibidor de la mitosis y división celular.. Precauciones: Rotación con SDHI o DMI para evitar resistencia. Higiene rigurosa.
¿Cuál es el modo de acción del Metil tiofanato?,El Metil tiofanato actúa como: Tiofanato (MBC). Inhibidor de la mitosis y división celular.. Se usa para controlar Secadera en granadilla.
¿Qué enfermedades trata el Metil tiofanato?,"El Metil tiofanato se usa para controlar Secadera en granadilla, aplicado por Drench o localizado en el cuello."
¿Qué EPP necesito para aplicar Metil tiofanato?,Para aplicar Metil tiofanato recuerda que Riesgo de sensibilización cutánea.. Las medidas de protección son: Rotación con SDHI o DMI para evitar resistencia. Higiene rigurosa.
¿Qué fungicida uso para la Podredumbre en maracuyá amarillo?,"Para controlar la Podredumbre en maracuyá amarillo se recomienda Fosetyl-Al, aplicado por Aspersión o Drench. Respetar los tiempos de carencia y las instrucciones de aplicación locales."
"Tengo Podredumbre en mi cultivo de maracuyá amarillo, ¿qué hago?",Usa Fosetyl-Al mediante Aspersión o Drench. Riesgos a tener en cuenta: ADI: mg/kg pc. Poco probable de presentar riesgo agudo (Clase U OMS).. Protección: Respetar los tiempos de carencia y las instrucciones de aplicación locales.
¿Cómo controlo la Podredumbre causada por  Phytophthora nicotianae  en maracuyá amarillo?,El control de Podredumbre en maracuyá amarillo se realiza con Fosetyl-Al (Aspersión o Drench). Modo de acción: Inductor de defensas de la planta (Código FRAC P 07)..
¿Qué riesgos tiene el Fosetyl-Al?,El Fosetyl-Al presenta: ADI: mg/kg pc. Poco probable de presentar riesgo agudo (Clase U OMS).. Para protegerte: Respetar los tiempos de carencia y las instrucciones de aplicación locales.
¿Es peligroso el Fosetyl-Al para la salud?,Respecto al Fosetyl-Al: ADI: mg/kg pc. Poco probable de presentar riesgo agudo (Clase U OMS).. Medidas de protección recomendadas: Respetar los tiempos de carencia y las instrucciones de aplicación locales.
¿Cómo me protejo al aplicar Fosetyl-Al?,Al usar Fosetyl-Al debes saber que: ADI: mg/kg pc. Poco probable de presentar riesgo agudo (Clase U OMS).. Para protegerte adecuadamente: Respetar los tiempos de carencia y las instrucciones de aplicación locales.
¿El Fosetyl-Al daña la piel o los ojos?,Sobre los riesgos del Fosetyl-Al: ADI: mg/kg pc. Poco probable de presentar riesgo agudo (Clase U OMS).. Se recomienda: Respetar los tiempos de carencia y las instrucciones de aplicación locales.
¿Cómo se aplica el Fosetyl-Al?,El Fosetyl-Al se aplica mediante Aspersión o Drench. Su acción: Inductor de defensas de la planta (Código FRAC P 07).. Precauciones: Respetar los tiempos de carencia y las instrucciones de aplicación locales.
¿Cuál es el modo de acción del Fosetyl-Al?,El Fosetyl-Al actúa como: Inductor de defensas de la planta (Código FRAC P 07).. Se usa para controlar Podredumbre en maracuyá amarillo.
¿Qué enfermedades trata el Fosetyl-Al?,"El Fosetyl-Al se usa para controlar Podredumbre en maracuyá amarillo, aplicado por Aspersión o Drench."
¿Qué EPP necesito para aplicar Fosetyl-Al?,Para aplicar Fosetyl-Al recuerda que ADI: mg/kg pc. Poco probable de presentar riesgo agudo (Clase U OMS).. Las medidas de protección son: Respetar los tiempos de carencia y las instrucciones de aplicación locales.
¿Qué fungicida uso para la Mildiú velloso en Passiflora spp.?,"Para controlar la Mildiú velloso en Passiflora spp. se recomienda Mandipropamid, aplicado por Tratamiento foliar / Aspersión. No se requiere dosis de referencia aguda (ARfD). Uso de equipo de protección estándar (BPA)."
"Tengo Mildiú velloso en mi cultivo de Passiflora spp., ¿qué hago?",Usa Mandipropamid mediante Tratamiento foliar / Aspersión. Riesgos a tener en cuenta: ADI: mg/kg pc. Irritación mínima en ojos y piel.. Protección: No se requiere dosis de referencia aguda (ARfD). Uso de equipo de protección estándar (BPA).
¿Cómo controlo la Mildiú velloso causada por  Oomycetes  en Passiflora spp.?,El control de Mildiú velloso en Passiflora spp. se realiza con Mandipropamid (Tratamiento foliar / Aspersión). Modo de acción: Inhibidor de la biosíntesis de pared celular (CAA). Inhibe biosíntesis de fosfolípidos..
¿Qué riesgos tiene el Mandipropamid?,El Mandipropamid presenta: ADI: mg/kg pc. Irritación mínima en ojos y piel.. Para protegerte: No se requiere dosis de referencia aguda (ARfD). Uso de equipo de protección estándar (BPA).
¿Es peligroso el Mandipropamid para la salud?,Respecto al Mandipropamid: ADI: mg/kg pc. Irritación mínima en ojos y piel.. Medidas de protección recomendadas: No se requiere dosis de referencia aguda (ARfD). Uso de equipo de protección estándar (BPA).
¿Cómo me protejo al aplicar Mandipropamid?,Al usar Mandipropamid debes saber que: ADI: mg/kg pc. Irritación mínima en ojos y piel.. Para protegerte adecuadamente: No se requiere dosis de referencia aguda (ARfD). Uso de equipo de protección estándar (BPA).
¿El Mandipropamid daña la piel o los ojos?,Sobre los riesgos del Mandipropamid: ADI: mg/kg pc. Irritación mínima en ojos y piel.. Se recomienda: No se requiere dosis de referencia aguda (ARfD). Uso de equipo de protección estándar (BPA).
¿Cómo se aplica el Mandipropamid?,El Mandipropamid se aplica mediante Tratamiento foliar / Aspersión. Su acción: Inhibidor de la biosíntesis de pared celular (CAA). Inhibe biosíntesis de fosfolípidos.. Precauciones: No se requiere dosis de referencia aguda (ARfD). Uso de equipo de protección estándar (BPA).
¿Cuál es el modo de acción del Mandipropamid?,El Mandipropamid actúa como: Inhibidor de la biosíntesis de pared celular (CAA). Inhibe biosíntesis de fosfolípidos.. Se usa para controlar Mildiú velloso en Passiflora spp..
¿Qué enfermedades trata el Mandipropamid?,"El Mandipropamid se usa para controlar Mildiú velloso en Passiflora spp., aplicado por Tratamiento foliar / Aspersión."
¿Qué EPP necesito para aplicar Mandipropamid?,Para aplicar Mandipropamid recuerda que ADI: mg/kg pc. Irritación mínima en ojos y piel.. Las medidas de protección son: No se requiere dosis de referencia aguda (ARfD). Uso de equipo de protección estándar (BPA).
¿Qué fungicida uso para la Secadera en granadilla?,"Para controlar la Secadera en granadilla se recomienda Trichoderma harzianum, aplicado por Tratamiento al suelo. No requiere EPP químico complejo. Higiene básica."
"Tengo Secadera en mi cultivo de granadilla, ¿qué hago?",Usa Trichoderma harzianum mediante Tratamiento al suelo. Riesgos a tener en cuenta: Poco probable de presentar peligro (especie microbiana común).. Protección: No requiere EPP químico complejo. Higiene básica.
¿Cómo controlo la Secadera causada por  Fusarium oxysporum  en granadilla?,El control de Secadera en granadilla se realiza con Trichoderma harzianum (Tratamiento al suelo). Modo de acción: Control Biológico (Código FRAC BM02). Micoparasitismo y antibiosis..
¿Qué riesgos tiene el Trichoderma harzianum?,El Trichoderma harzianum presenta: Poco probable de presentar peligro (especie microbiana común).. Para protegerte: No requiere EPP químico complejo. Higiene básica.
¿Es peligroso el Trichoderma harzianum para la salud?,Respecto al Trichoderma harzianum: Poco probable de presentar peligro (especie microbiana común).. Medidas de protección recomendadas: No requiere EPP químico complejo. Higiene básica.
¿Cómo me protejo al aplicar Trichoderma harzianum?,Al usar Trichoderma harzianum debes saber que: Poco probable de presentar peligro (especie microbiana común).. Para protegerte adecuadamente: No requiere EPP químico complejo. Higiene básica.
¿El Trichoderma harzianum daña la piel o los ojos?,Sobre los riesgos del Trichoderma harzianum: Poco probable de presentar peligro (especie microbiana común).. Se recomienda: No requiere EPP químico complejo. Higiene básica.
¿Cómo se aplica el Trichoderma harzianum?,El Trichoderma harzianum se aplica mediante Tratamiento al suelo. Su acción: Control Biológico (Código FRAC BM02). Micoparasitismo y antibiosis.. Precauciones: No requiere EPP químico complejo. Higiene básica.
¿Cuál es el modo de acción del Trichoderma harzianum?,El Trichoderma harzianum actúa como: Control Biológico (Código FRAC BM02). Micoparasitismo y antibiosis.. Se usa para controlar Secadera en granadilla.
¿Qué enfermedades trata el Trichoderma harzianum?,"El Trichoderma harzianum se usa para controlar Secadera en granadilla, aplicado por Tratamiento al suelo."
¿Qué EPP necesito para aplicar Trichoderma harzianum?,Para aplicar Trichoderma harzianum recuerda que Poco probable de presentar peligro (especie microbiana común).. Las medidas de protección son: No requiere EPP químico complejo. Higiene básica.
¿Qué fungicida uso para la Roña en gulupa?,"Para controlar la Roña en gulupa se recomienda Extracto de Swinglea glutinosa, aplicado por Aspersión foliar / Inmersión. Implementación de Buenas Prácticas Agrícolas (BPA)."
"Tengo Roña en mi cultivo de gulupa, ¿qué hago?",Usa Extracto de Swinglea glutinosa mediante Aspersión foliar / Inmersión. Riesgos a tener en cuenta: Categoría toxicológica III o IV (Baja toxicidad).. Protección: Implementación de Buenas Prácticas Agrícolas (BPA).
¿Cómo controlo la Roña causada por  Cladosporium cladosporioides  en gulupa?,El control de Roña en gulupa se realiza con Extracto de Swinglea glutinosa (Aspersión foliar / Inmersión). Modo de acción: Biofungicida (extracto vegetal). Inhibe el crecimiento micelial..
¿Qué riesgos tiene el Extracto de Swinglea glutinosa?,El Extracto de Swinglea glutinosa presenta: Categoría toxicológica III o IV (Baja toxicidad).. Para protegerte: Implementación de Buenas Prácticas Agrícolas (BPA).
¿Es peligroso el Extracto de Swinglea glutinosa para la salud?,Respecto al Extracto de Swinglea glutinosa: Categoría toxicológica III o IV (Baja toxicidad).. Medidas de protección recomendadas: Implementación de Buenas Prácticas Agrícolas (BPA).
¿Cómo me protejo al aplicar Extracto de Swinglea glutinosa?,Al usar Extracto de Swinglea glutinosa debes saber que: Categoría toxicológica III o IV (Baja toxicidad).. Para protegerte adecuadamente: Implementación de Buenas Prácticas Agrícolas (BPA).
¿El Extracto de Swinglea glutinosa daña la piel o los ojos?,Sobre los riesgos del Extracto de Swinglea glutinosa: Categoría toxicológica III o IV (Baja toxicidad).. Se recomienda: Implementación de Buenas Prácticas Agrícolas (BPA).
¿Cómo se aplica el Extracto de Swinglea glutinosa?,El Extracto de Swinglea glutinosa se aplica mediante Aspersión foliar / Inmersión. Su acción: Biofungicida (extracto vegetal). Inhibe el crecimiento micelial.. Precauciones: Implementación de Buenas Prácticas Agrícolas (BPA).
¿Cuál es el modo de acción del Extracto de Swinglea glutinosa?,El Extracto de Swinglea glutinosa actúa como: Biofungicida (extracto vegetal). Inhibe el crecimiento micelial.. Se usa para controlar Roña en gulupa.
¿Qué enfermedades trata el Extracto de Swinglea glutinosa?,"El Extracto de Swinglea glutinosa se usa para controlar Roña en gulupa, aplicado por Aspersión foliar / Inmersión."
¿Qué EPP necesito para aplicar Extracto de Swinglea glutinosa?,Para aplicar Extracto de Swinglea glutinosa recuerda que Categoría toxicológica III o IV (Baja toxicidad).. Las medidas de protección son: Implementación de Buenas Prácticas Agrícolas (BPA).
¿Qué fungicida uso para la Hongos patógenos en Passiflora spp.?,"Para controlar la Hongos patógenos en Passiflora spp. se recomienda Proquinazid, aplicado por Aspersión foliar. Medidas de protección para evitar exposición a largo plazo por perfil EDC."
"Tengo Hongos patógenos en mi cultivo de Passiflora spp., ¿qué hago?",Usa Proquinazid mediante Aspersión foliar. Riesgos a tener en cuenta: Identificado como disruptor endocrino (EDC) en la UE. ADI: mg/kg pc.. Protección: Medidas de protección para evitar exposición a largo plazo por perfil EDC.
¿Cómo trato la Hongos patógenos en Passiflora spp.?,El control de Hongos patógenos en Passiflora spp. se realiza con Proquinazid (Aspersión foliar). Modo de acción: Quinazolinona (Código FRAC E1). Transducción de señal..
¿Qué riesgos tiene el Proquinazid?,El Proquinazid presenta: Identificado como disruptor endocrino (EDC) en la UE. ADI: mg/kg pc.. Para protegerte: Medidas de protección para evitar exposición a largo plazo por perfil EDC.
¿Es peligroso el Proquinazid para la salud?,Respecto al Proquinazid: Identificado como disruptor endocrino (EDC) en la UE. ADI: mg/kg pc.. Medidas de protección recomendadas: Medidas de protección para evitar exposición a largo plazo por perfil EDC.
¿Cómo me protejo al aplicar Proquinazid?,Al usar Proquinazid debes saber que: Identificado como disruptor endocrino (EDC) en la UE. ADI: mg/kg pc.. Para protegerte adecuadamente: Medidas de protección para evitar exposición a largo plazo por perfil EDC.
¿El Proquinazid daña la piel o los ojos?,Sobre los riesgos del Proquinazid: Identificado como disruptor endocrino (EDC) en la UE. ADI: mg/kg pc.. Se recomienda: Medidas de protección para evitar exposición a largo plazo por perfil EDC.
¿Cómo se aplica el Proquinazid?,El Proquinazid se aplica mediante Aspersión foliar. Su acción: Quinazolinona (Código FRAC E1). Transducción de señal.. Precauciones: Medidas de protección para evitar exposición a largo plazo por perfil EDC.
¿Cuál es el modo de acción del Proquinazid?,El Proquinazid actúa como: Quinazolinona (Código FRAC E1). Transducción de señal.. Se usa para controlar Hongos patógenos en Passiflora spp..
¿Qué enfermedades trata el Proquinazid?,"El Proquinazid se usa para controlar Hongos patógenos en Passiflora spp., aplicado por Aspersión foliar."
¿Qué EPP necesito para aplicar Proquinazid?,Para aplicar Proquinazid recuerda que Identificado como disruptor endocrino (EDC) en la UE. ADI: mg/kg pc.. Las medidas de protección son: Medidas de protección para evitar exposición a largo plazo por perfil EDC.
