pregunta,respuesta
¿puedo mezclar Azoxistrobina con otros fungicidas?,"Azoxistrobina se puede mezclar con fungicidas de diferente modo de acción para ampliar el espectro. Su modo de acción es inhibidor QoI FRAC 11, bloquea respiración mitocondrial. Antes de mezclar, verifica compatibilidad en etiqueta. usar EPP completo, respetar periodos de carencia."
¿cada cuánto se aplica Azoxistrobina?,"La frecuencia de Azoxistrobina depende de la presión de enfermedad, pero generalmente no se recomienda más de 3 aplicaciones por ciclo del mismo modo de acción para evitar resistencia. Su uso es para Antracnosis en maracuyá por aspersión foliar."
¿Azoxistrobina tiene periodo de carencia?,"Sí, Azoxistrobina tiene periodo de carencia que debe respetarse antes de cosechar. Revisa siempre la etiqueta del producto registrado en tu región. Recuerda que usar EPP completo, respetar periodos de carencia."
¿cuál es el riesgo de resistencia cruzada al usar Azoxistrobina en programas de manejo?,"Azoxistrobina actúa como inhibidor QoI FRAC 11, bloquea respiración mitocondrial. Los fungicidas con este mecanismo tienen riesgo de resistencia cruzada con otros del mismo grupo FRAC. Se recomienda no superar 2-3 aplicaciones por ciclo y rotar con multi-sitios como Mancozeb o Cobre."
¿cómo afecta el Azoxistrobina a la biota del suelo?,"El impacto de Azoxistrobina en la biota del suelo depende del modo de aplicación. Aplicado por aspersión foliar, su contacto con el suelo es limitado. usar EPP completo, respetar periodos de carencia. Se recomienda monitorear la microbiota benéfica en aplicaciones continuas."
¿cuál es la selectividad del Azoxistrobina hacia hongos benéficos?,"Azoxistrobina (inhibidor QoI FRAC 11, bloquea respiración mitocondrial) puede afectar hongos benéficos como micorrizas si se aplica al suelo. Su aplicación por aspersión foliar reduce este riesgo. usar EPP completo, respetar periodos de carencia."
"me vendieron Difenoconazol en el almacén, ¿sirve para mi maracuyá?","Sí, Difenoconazol es un fungicida que se usa para controlar Antracnosis en maracuyá. Se aplica por aspersión foliar. Recuerda usar guantes y overol al aplicarlo. protección dérmica obligatoria, rotar con otros FRAC."
cómo se echa el Difenoconazol,"Difenoconazol se aplica mediante aspersión foliar. Antes de aplicarlo usa tu equipo de protección: overol, guantes, gafas y tapabocas. Ten en cuenta que clasificación OMS III, irritación ocular moderada. protección dérmica obligatoria, rotar con otros FRAC."
el Difenoconazol es malo para la salud,"Como todo fungicida, Difenoconazol requiere precaución. Sus riesgos son: clasificación OMS III, irritación ocular moderada. Para protegerte: protección dérmica obligatoria, rotar con otros FRAC. Siempre usa tu equipo de protección completo."
para qué sirve el Difenoconazol,"Difenoconazol sirve para controlar Antracnosis en cultivos de maracuyá. Se aplica por aspersión foliar y actúa como inhibidor DMI FRAC 3, inhibe biosíntesis de ergosterol. Es importante seguir las instrucciones de la etiqueta."
me salpiqué con Difenoconazol qué hago,"Si te salpicaste con Difenoconazol: lava inmediatamente la zona afectada con agua y jabón durante 15 minutos. Si fue en los ojos, lava con agua abundante por 15 minutos. Recuerda que este producto tiene estos riesgos: clasificación OMS III, irritación ocular moderada. Si los síntomas persisten, ve al médico con la etiqueta del producto."
¿cuál es el código FRAC del Difenoconazol?,"Difenoconazol actúa como inhibidor DMI FRAC 3, inhibe biosíntesis de ergosterol. Conocer el código FRAC es clave para rotar correctamente y evitar resistencias en Antracnosis."
¿cuál es el modo de acción del Difenoconazol sobre Antracnosis?,"Difenoconazol controla Antracnosis en maracuyá mediante inhibidor DMI FRAC 3, inhibe biosíntesis de ergosterol. Se aplica por aspersión foliar. Para evitar resistencia, rotar con fungicidas de diferente código FRAC."
¿puedo mezclar Difenoconazol con otros fungicidas?,"Difenoconazol se puede mezclar con fungicidas de diferente modo de acción para ampliar el espectro. Su modo de acción es inhibidor DMI FRAC 3, inhibe biosíntesis de ergosterol. Antes de mezclar, verifica compatibilidad en etiqueta. protección dérmica obligatoria, rotar con otros FRAC."
¿cada cuánto se aplica Difenoconazol?,"La frecuencia de Difenoconazol depende de la presión de enfermedad, pero generalmente no se recomienda más de 3 aplicaciones por ciclo del mismo modo de acción para evitar resistencia. Su uso es para Antracnosis en maracuyá por aspersión foliar."
¿Difenoconazol tiene periodo de carencia?,"Sí, Difenoconazol tiene periodo de carencia que debe respetarse antes de cosechar. Revisa siempre la etiqueta del producto registrado en tu región. Recuerda que protección dérmica obligatoria, rotar con otros FRAC."
¿cuál es el riesgo de resistencia cruzada al usar Difenoconazol en programas de manejo?,"Difenoconazol actúa como inhibidor DMI FRAC 3, inhibe biosíntesis de ergosterol. Los fungicidas con este mecanismo tienen riesgo de resistencia cruzada con otros del mismo grupo FRAC. Se recomienda no superar 2-3 aplicaciones por ciclo y rotar con multi-sitios como Mancozeb o Cobre."
¿cómo afecta el Difenoconazol a la biota del suelo?,"El impacto de Difenoconazol en la biota del suelo depende del modo de aplicación. Aplicado por aspersión foliar, su contacto con el suelo es limitado. protección dérmica obligatoria, rotar con otros FRAC. Se recomienda monitorear la microbiota benéfica en aplicaciones continuas."
¿cuál es la selectividad del Difenoconazol hacia hongos benéficos?,"Difenoconazol (inhibidor DMI FRAC 3, inhibe biosíntesis de ergosterol) puede afectar hongos benéficos como micorrizas si se aplica al suelo. Su aplicación por aspersión foliar reduce este riesgo. protección dérmica obligatoria, rotar con otros FRAC."
"me vendieron Prochloraz en el almacén, ¿sirve para mi gulupa?","Sí, Prochloraz es un fungicida que se usa para controlar Antracnosis en gulupa. Se aplica por aspersión foliar o inmersión post-cosecha. Recuerda usar guantes y overol al aplicarlo. guantes de nitrilo y ventilación en post-cosecha."
cómo se echa el Prochloraz,"Prochloraz se aplica mediante aspersión foliar o inmersión post-cosecha. Antes de aplicarlo usa tu equipo de protección: overol, guantes, gafas y tapabocas. Ten en cuenta que categoría III, riesgo de sensibilización cutánea. guantes de nitrilo y ventilación en post-cosecha."
el Prochloraz es malo para la salud,"Como todo fungicida, Prochloraz requiere precaución. Sus riesgos son: categoría III, riesgo de sensibilización cutánea. Para protegerte: guantes de nitrilo y ventilación en post-cosecha. Siempre usa tu equipo de protección completo."
para qué sirve el Prochloraz,"Prochloraz sirve para controlar Antracnosis en cultivos de gulupa. Se aplica por aspersión foliar o inmersión post-cosecha y actúa como inhibidor DMI FRAC 3, sistémico local. Es importante seguir las instrucciones de la etiqueta."
me salpiqué con Prochloraz qué hago,"Si te salpicaste con Prochloraz: lava inmediatamente la zona afectada con agua y jabón durante 15 minutos. Si fue en los ojos, lava con agua abundante por 15 minutos. Recuerda que este producto tiene estos riesgos: categoría III, riesgo de sensibilización cutánea. Si los síntomas persisten, ve al médico con la etiqueta del producto."
¿cuál es el código FRAC del Prochloraz?,"Prochloraz actúa como inhibidor DMI FRAC 3, sistémico local. Conocer el código FRAC es clave para rotar correctamente y evitar resistencias en Antracnosis."
¿cuál es el modo de acción del Prochloraz sobre Antracnosis?,"Prochloraz controla Antracnosis en gulupa mediante inhibidor DMI FRAC 3, sistémico local. Se aplica por aspersión foliar o inmersión post-cosecha. Para evitar resistencia, rotar con fungicidas de diferente código FRAC."
¿puedo mezclar Prochloraz con otros fungicidas?,"Prochloraz se puede mezclar con fungicidas de diferente modo de acción para ampliar el espectro. Su modo de acción es inhibidor DMI FRAC 3, sistémico local. Antes de mezclar, verifica compatibilidad en etiqueta. guantes de nitrilo y ventilación en post-cosecha."
¿cada cuánto se aplica Prochloraz?,"La frecuencia de Prochloraz depende de la presión de enfermedad, pero generalmente no se recomienda más de 3 aplicaciones por ciclo del mismo modo de acción para evitar resistencia. Su uso es para Antracnosis en gulupa por aspersión foliar o inmersión post-cosecha."
¿Prochloraz tiene periodo de carencia?,"Sí, Prochloraz tiene periodo de carencia que debe respetarse antes de cosechar. Revisa siempre la etiqueta del producto registrado en tu región. Recuerda que guantes de nitrilo y ventilación en post-cosecha."
¿cuál es el riesgo de resistencia cruzada al usar Prochloraz en programas de manejo?,"Prochloraz actúa como inhibidor DMI FRAC 3, sistémico local. Los fungicidas con este mecanismo tienen riesgo de resistencia cruzada con otros del mismo grupo FRAC. Se recomienda no superar 2-3 aplicaciones por ciclo y rotar con multi-sitios como Mancozeb o Cobre."
¿cómo afecta el Prochloraz a la biota del suelo?,"El impacto de Prochloraz en la biota del suelo depende del modo de aplicación. Aplicado por aspersión foliar o inmersión post-cosecha, su contacto con el suelo es limitado. guantes de nitrilo y ventilación en post-cosecha. Se recomienda monitorear la microbiota benéfica en aplicaciones continuas."
¿cuál es la selectividad del Prochloraz hacia hongos benéficos?,"Prochloraz (inhibidor DMI FRAC 3, sistémico local) puede afectar hongos benéficos como micorrizas si se aplica al suelo. Su aplicación por aspersión foliar o inmersión post-cosecha reduce este riesgo. guantes de nitrilo y ventilación en post-cosecha."
"me vendieron Mandipropamid en el almacén, ¿sirve para mi maracuyá?","Sí, Mandipropamid es un fungicida que se usa para controlar Mildiú velloso en maracuyá. Se aplica por aspersión foliar. Recuerda usar guantes y overol al aplicarlo. seguir dosis de etiqueta, evitar deriva a fuentes de agua."
cómo se echa el Mandipropamid,"Mandipropamid se aplica mediante aspersión foliar. Antes de aplicarlo usa tu equipo de protección: overol, guantes, gafas y tapabocas. Ten en cuenta que OMS clase U, baja toxicidad aguda. seguir dosis de etiqueta, evitar deriva a fuentes de agua."
el Mandipropamid es malo para la salud,"Como todo fungicida, Mandipropamid requiere precaución. Sus riesgos son: OMS clase U, baja toxicidad aguda. Para protegerte: seguir dosis de etiqueta, evitar deriva a fuentes de agua. Siempre usa tu equipo de protección completo."
para qué sirve el Mandipropamid,"Mandipropamid sirve para controlar Mildiú velloso en cultivos de maracuyá. Se aplica por aspersión foliar y actúa como inhibidor CAA FRAC 40, afecta pared celular. Es importante seguir las instrucciones de la etiqueta."
me salpiqué con Mandipropamid qué hago,"Si te salpicaste con Mandipropamid: lava inmediatamente la zona afectada con agua y jabón durante 15 minutos. Si fue en los ojos, lava con agua abundante por 15 minutos. Recuerda que este producto tiene estos riesgos: OMS clase U, baja toxicidad aguda. Si los síntomas persisten, ve al médico con la etiqueta del producto."
¿cuál es el código FRAC del Mandipropamid?,"Mandipropamid actúa como inhibidor CAA FRAC 40, afecta pared celular. Conocer el código FRAC es clave para rotar correctamente y evitar resistencias en Mildiú velloso."
¿cuál es el modo de acción del Mandipropamid sobre Mildiú velloso?,"Mandipropamid controla Mildiú velloso en maracuyá mediante inhibidor CAA FRAC 40, afecta pared celular. Se aplica por aspersión foliar. Para evitar resistencia, rotar con fungicidas de diferente código FRAC."
¿puedo mezclar Mandipropamid con otros fungicidas?,"Mandipropamid se puede mezclar con fungicidas de diferente modo de acción para ampliar el espectro. Su modo de acción es inhibidor CAA FRAC 40, afecta pared celular. Antes de mezclar, verifica compatibilidad en etiqueta. seguir dosis de etiqueta, evitar deriva a fuentes de agua."
¿cada cuánto se aplica Mandipropamid?,"La frecuencia de Mandipropamid depende de la presión de enfermedad, pero generalmente no se recomienda más de 3 aplicaciones por ciclo del mismo modo de acción para evitar resistencia. Su uso es para Mildiú velloso en maracuyá por aspersión foliar."
¿Mandipropamid tiene periodo de carencia?,"Sí, Mandipropamid tiene periodo de carencia que debe respetarse antes de cosechar. Revisa siempre la etiqueta del producto registrado en tu región. Recuerda que seguir dosis de etiqueta, evitar deriva a fuentes de agua."
¿cuál es el riesgo de resistencia cruzada al usar Mandipropamid en programas de manejo?,"Mandipropamid actúa como inhibidor CAA FRAC 40, afecta pared celular. Los fungicidas con este mecanismo tienen riesgo de resistencia cruzada con otros del mismo grupo FRAC. Se recomienda no superar 2-3 aplicaciones por ciclo y rotar con multi-sitios como Mancozeb o Cobre."
¿cómo afecta el Mandipropamid a la biota del suelo?,"El impacto de Mandipropamid en la biota del suelo depende del modo de aplicación. Aplicado por aspersión foliar, su contacto con el suelo es limitado. seguir dosis de etiqueta, evitar deriva a fuentes de agua. Se recomienda monitorear la microbiota benéfica en aplicaciones continuas."
¿cuál es la selectividad del Mandipropamid hacia hongos benéficos?,"Mandipropamid (inhibidor CAA FRAC 40, afecta pared celular) puede afectar hongos benéficos como micorrizas si se aplica al suelo. Su aplicación por aspersión foliar reduce este riesgo. seguir dosis de etiqueta, evitar deriva a fuentes de agua."
"me vendieron Mancozeb en el almacén, ¿sirve para mi maracuyá?","Sí, Mancozeb es un fungicida que se usa para controlar Antracnosis en maracuyá. Se aplica por aspersión foliar. Recuerda usar guantes y overol al aplicarlo. respetar estrictamente periodos de carencia largos."
cómo se echa el Mancozeb,"Mancozeb se aplica mediante aspersión foliar. Antes de aplicarlo usa tu equipo de protección: overol, guantes, gafas y tapabocas. Ten en cuenta que riesgo de alteración tiroidea ETU, irritante. respetar estrictamente periodos de carencia largos."
el Mancozeb es malo para la salud,"Como todo fungicida, Mancozeb requiere precaución. Sus riesgos son: riesgo de alteración tiroidea ETU, irritante. Para protegerte: respetar estrictamente periodos de carencia largos. Siempre usa tu equipo de protección completo."
para qué sirve el Mancozeb,"Mancozeb sirve para controlar Antracnosis en cultivos de maracuyá. Se aplica por aspersión foliar y actúa como multi-sitio FRAC M03, reacciona con grupos SH. Es importante seguir las instrucciones de la etiqueta."
me salpiqué con Mancozeb qué hago,"Si te salpicaste con Mancozeb: lava inmediatamente la zona afectada con agua y jabón durante 15 minutos. Si fue en los ojos, lava con agua abundante por 15 minutos. Recuerda que este producto tiene estos riesgos: riesgo de alteración tiroidea ETU, irritante. Si los síntomas persisten, ve al médico con la etiqueta del producto."
¿cuál es el código FRAC del Mancozeb?,"Mancozeb actúa como multi-sitio FRAC M03, reacciona con grupos SH. Conocer el código FRAC es clave para rotar correctamente y evitar resistencias en Antracnosis."
¿cuál es el modo de acción del Mancozeb sobre Antracnosis?,"Mancozeb controla Antracnosis en maracuyá mediante multi-sitio FRAC M03, reacciona con grupos SH. Se aplica por aspersión foliar. Para evitar resistencia, rotar con fungicidas de diferente código FRAC."
¿puedo mezclar Mancozeb con otros fungicidas?,"Mancozeb se puede mezclar con fungicidas de diferente modo de acción para ampliar el espectro. Su modo de acción es multi-sitio FRAC M03, reacciona con grupos SH. Antes de mezclar, verifica compatibilidad en etiqueta. respetar estrictamente periodos de carencia largos."
¿cada cuánto se aplica Mancozeb?,"La frecuencia de Mancozeb depende de la presión de enfermedad, pero generalmente no se recomienda más de 3 aplicaciones por ciclo del mismo modo de acción para evitar resistencia. Su uso es para Antracnosis en maracuyá por aspersión foliar."
¿Mancozeb tiene periodo de carencia?,"Sí, Mancozeb tiene periodo de carencia que debe respetarse antes de cosechar. Revisa siempre la etiqueta del producto registrado en tu región. Recuerda que respetar estrictamente periodos de carencia largos."
¿cuál es el riesgo de resistencia cruzada al usar Mancozeb en programas de manejo?,"Mancozeb actúa como multi-sitio FRAC M03, reacciona con grupos SH. Los fungicidas con este mecanismo tienen riesgo de resistencia cruzada con otros del mismo grupo FRAC. Se recomienda no superar 2-3 aplicaciones por ciclo y rotar con multi-sitios como Mancozeb o Cobre."
¿cómo afecta el Mancozeb a la biota del suelo?,"El impacto de Mancozeb en la biota del suelo depende del modo de aplicación. Aplicado por aspersión foliar, su contacto con el suelo es limitado. respetar estrictamente periodos de carencia largos. Se recomienda monitorear la microbiota benéfica en aplicaciones continuas."
¿cuál es la selectividad del Mancozeb hacia hongos benéficos?,"Mancozeb (multi-sitio FRAC M03, reacciona con grupos SH) puede afectar hongos benéficos como micorrizas si se aplica al suelo. Su aplicación por aspersión foliar reduce este riesgo. respetar estrictamente periodos de carencia largos."
"me vendieron Tebuconazol en el almacén, ¿sirve para mi granadilla?","Sí, Tebuconazol es un fungicida que se usa para controlar Mancha foliar en granadilla. Se aplica por aspersión foliar. Recuerda usar guantes y overol al aplicarlo. EPP nivel alto, rotar con protectantes."
cómo se echa el Tebuconazol,"Tebuconazol se aplica mediante aspersión foliar. Antes de aplicarlo usa tu equipo de protección: overol, guantes, gafas y tapabocas. Ten en cuenta que OMS clase II, posible riesgo para desarrollo embrionario. EPP nivel alto, rotar con protectantes."
el Tebuconazol es malo para la salud,"Como todo fungicida, Tebuconazol requiere precaución. Sus riesgos son: OMS clase II, posible riesgo para desarrollo embrionario. Para protegerte: EPP nivel alto, rotar con protectantes. Siempre usa tu equipo de protección completo."
para qué sirve el Tebuconazol,"Tebuconazol sirve para controlar Mancha foliar en cultivos de granadilla. Se aplica por aspersión foliar y actúa como inhibidor DMI FRAC 3, sistémico acropétalo. Es importante seguir las instrucciones de la etiqueta."
me salpiqué con Tebuconazol qué hago,"Si te salpicaste con Tebuconazol: lava inmediatamente la zona afectada con agua y jabón durante 15 minutos. Si fue en los ojos, lava con agua abundante por 15 minutos. Recuerda que este producto tiene estos riesgos: OMS clase II, posible riesgo para desarrollo embrionario. Si los síntomas persisten, ve al médico con la etiqueta del producto."
¿cuál es el código FRAC del Tebuconazol?,"Tebuconazol actúa como inhibidor DMI FRAC 3, sistémico acropétalo. Conocer el código FRAC es clave para rotar correctamente y evitar resistencias en Mancha foliar."
¿cuál es el modo de acción del Tebuconazol sobre Mancha foliar?,"Tebuconazol controla Mancha foliar en granadilla mediante inhibidor DMI FRAC 3, sistémico acropétalo. Se aplica por aspersión foliar. Para evitar resistencia, rotar con fungicidas de diferente código FRAC."
¿puedo mezclar Tebuconazol con otros fungicidas?,"Tebuconazol se puede mezclar con fungicidas de diferente modo de acción para ampliar el espectro. Su modo de acción es inhibidor DMI FRAC 3, sistémico acropétalo. Antes de mezclar, verifica compatibilidad en etiqueta. EPP nivel alto, rotar con protectantes."
¿cada cuánto se aplica Tebuconazol?,"La frecuencia de Tebuconazol depende de la presión de enfermedad, pero generalmente no se recomienda más de 3 aplicaciones por ciclo del mismo modo de acción para evitar resistencia. Su uso es para Mancha foliar en granadilla por aspersión foliar."
¿Tebuconazol tiene periodo de carencia?,"Sí, Tebuconazol tiene periodo de carencia que debe respetarse antes de cosechar. Revisa siempre la etiqueta del producto registrado en tu región. Recuerda que EPP nivel alto, rotar con protectantes."
¿cuál es el riesgo de resistencia cruzada al usar Tebuconazol en programas de manejo?,"Tebuconazol actúa como inhibidor DMI FRAC 3, sistémico acropétalo. Los fungicidas con este mecanismo tienen riesgo de resistencia cruzada con otros del mismo grupo FRAC. Se recomienda no superar 2-3 aplicaciones por ciclo y rotar con multi-sitios como Mancozeb o Cobre."
¿cómo afecta el Tebuconazol a la biota del suelo?,"El impacto de Tebuconazol en la biota del suelo depende del modo de aplicación. Aplicado por aspersión foliar, su contacto con el suelo es limitado. EPP nivel alto, rotar con protectantes. Se recomienda monitorear la microbiota benéfica en aplicaciones continuas."
¿cuál es la selectividad del Tebuconazol hacia hongos benéficos?,"Tebuconazol (inhibidor DMI FRAC 3, sistémico acropétalo) puede afectar hongos benéficos como micorrizas si se aplica al suelo. Su aplicación por aspersión foliar reduce este riesgo. EPP nivel alto, rotar con protectantes."
"me vendieron Boscalid en el almacén, ¿sirve para mi maracuyá?","Sí, Boscalid es un fungicida que se usa para controlar Moho gris en maracuyá. Se aplica por aspersión foliar. Recuerda usar guantes y overol al aplicarlo. monitorear eficacia por riesgo de resistencia."
cómo se echa el Boscalid,"Boscalid se aplica mediante aspersión foliar. Antes de aplicarlo usa tu equipo de protección: overol, guantes, gafas y tapabocas. Ten en cuenta que OMS clase U, poco persistente en mamíferos. monitorear eficacia por riesgo de resistencia."
el Boscalid es malo para la salud,"Como todo fungicida, Boscalid requiere precaución. Sus riesgos son: OMS clase U, poco persistente en mamíferos. Para protegerte: monitorear eficacia por riesgo de resistencia. Siempre usa tu equipo de protección completo."
para qué sirve el Boscalid,"Boscalid sirve para controlar Moho gris en cultivos de maracuyá. Se aplica por aspersión foliar y actúa como inhibidor SDHI FRAC 7, bloquea complejo II. Es importante seguir las instrucciones de la etiqueta."
me salpiqué con Boscalid qué hago,"Si te salpicaste con Boscalid: lava inmediatamente la zona afectada con agua y jabón durante 15 minutos. Si fue en los ojos, lava con agua abundante por 15 minutos. Recuerda que este producto tiene estos riesgos: OMS clase U, poco persistente en mamíferos. Si los síntomas persisten, ve al médico con la etiqueta del producto."
¿cuál es el código FRAC del Boscalid?,"Boscalid actúa como inhibidor SDHI FRAC 7, bloquea complejo II. Conocer el código FRAC es clave para rotar correctamente y evitar resistencias en Moho gris."
¿cuál es el modo de acción del Boscalid sobre Moho gris?,"Boscalid controla Moho gris en maracuyá mediante inhibidor SDHI FRAC 7, bloquea complejo II. Se aplica por aspersión foliar. Para evitar resistencia, rotar con fungicidas de diferente código FRAC."
¿puedo mezclar Boscalid con otros fungicidas?,"Boscalid se puede mezclar con fungicidas de diferente modo de acción para ampliar el espectro. Su modo de acción es inhibidor SDHI FRAC 7, bloquea complejo II. Antes de mezclar, verifica compatibilidad en etiqueta. monitorear eficacia por riesgo de resistencia."
¿cada cuánto se aplica Boscalid?,"La frecuencia de Boscalid depende de la presión de enfermedad, pero generalmente no se recomienda más de 3 aplicaciones por ciclo del mismo modo de acción para evitar resistencia. Su uso es para Moho gris en maracuyá por aspersión foliar."
¿Boscalid tiene periodo de carencia?,"Sí, Boscalid tiene periodo de carencia que debe respetarse antes de cosechar. Revisa siempre la etiqueta del producto registrado en tu región. Recuerda que monitorear eficacia por riesgo de resistencia."
¿cuál es el riesgo de resistencia cruzada al usar Boscalid en programas de manejo?,"Boscalid actúa como inhibidor SDHI FRAC 7, bloquea complejo II. Los fungicidas con este mecanismo tienen riesgo de resistencia cruzada con otros del mismo grupo FRAC. Se recomienda no superar 2-3 aplicaciones por ciclo y rotar con multi-sitios como Mancozeb o Cobre."
¿cómo afecta el Boscalid a la biota del suelo?,"El impacto de Boscalid en la biota del suelo depende del modo de aplicación. Aplicado por aspersión foliar, su contacto con el suelo es limitado. monitorear eficacia por riesgo de resistencia. Se recomienda monitorear la microbiota benéfica en aplicaciones continuas."
¿cuál es la selectividad del Boscalid hacia hongos benéficos?,"Boscalid (inhibidor SDHI FRAC 7, bloquea complejo II) puede afectar hongos benéficos como micorrizas si se aplica al suelo. Su aplicación por aspersión foliar reduce este riesgo. monitorear eficacia por riesgo de resistencia."
"me vendieron Trichoderma harzianum en el almacén, ¿sirve para mi granadilla?","Sí, Trichoderma harzianum es un fungicida que se usa para controlar Secadera en granadilla. Se aplica por tratamiento al suelo. Recuerda usar guantes y overol al aplicarlo. evitar levantar polvo, usar mascarilla."
cómo se echa el Trichoderma harzianum,"Trichoderma harzianum se aplica mediante tratamiento al suelo. Antes de aplicarlo usa tu equipo de protección: overol, guantes, gafas y tapabocas. Ten en cuenta que seguro para humanos, posible reacción alérgica inhalatoria. evitar levantar polvo, usar mascarilla."
el Trichoderma harzianum es malo para la salud,"Como todo fungicida, Trichoderma harzianum requiere precaución. Sus riesgos son: seguro para humanos, posible reacción alérgica inhalatoria. Para protegerte: evitar levantar polvo, usar mascarilla. Siempre usa tu equipo de protección completo."
para qué sirve el Trichoderma harzianum,"Trichoderma harzianum sirve para controlar Secadera en cultivos de granadilla. Se aplica por tratamiento al suelo y actúa como biofungicida BM02, micoparasitismo y competencia. Es importante seguir las instrucciones de la etiqueta."
me salpiqué con Trichoderma harzianum qué hago,"Si te salpicaste con Trichoderma harzianum: lava inmediatamente la zona afectada con agua y jabón durante 15 minutos. Si fue en los ojos, lava con agua abundante por 15 minutos. Recuerda que este producto tiene estos riesgos: seguro para humanos, posible reacción alérgica inhalatoria. Si los síntomas persisten, ve al médico con la etiqueta del producto."
¿cuál es el código FRAC del Trichoderma harzianum?,"Trichoderma harzianum actúa como biofungicida BM02, micoparasitismo y competencia. Conocer el código FRAC es clave para rotar correctamente y evitar resistencias en Secadera."
¿cuál es el modo de acción del Trichoderma harzianum sobre Secadera?,"Trichoderma harzianum controla Secadera en granadilla mediante biofungicida BM02, micoparasitismo y competencia. Se aplica por tratamiento al suelo. Para evitar resistencia, rotar con fungicidas de diferente código FRAC."
¿puedo mezclar Trichoderma harzianum con otros fungicidas?,"Trichoderma harzianum se puede mezclar con fungicidas de diferente modo de acción para ampliar el espectro. Su modo de acción es biofungicida BM02, micoparasitismo y competencia. Antes de mezclar, verifica compatibilidad en etiqueta. evitar levantar polvo, usar mascarilla."
¿cada cuánto se aplica Trichoderma harzianum?,"La frecuencia de Trichoderma harzianum depende de la presión de enfermedad, pero generalmente no se recomienda más de 3 aplicaciones por ciclo del mismo modo de acción para evitar resistencia. Su uso es para Secadera en granadilla por tratamiento al suelo."
¿Trichoderma harzianum tiene periodo de carencia?,"Sí, Trichoderma harzianum tiene periodo de carencia que debe respetarse antes de cosechar. Revisa siempre la etiqueta del producto registrado en tu región. Recuerda que evitar levantar polvo, usar mascarilla."
¿cuál es el riesgo de resistencia cruzada al usar Trichoderma harzianum en programas de manejo?,"Trichoderma harzianum actúa como biofungicida BM02, micoparasitismo y competencia. Los fungicidas con este mecanismo tienen riesgo de resistencia cruzada con otros del mismo grupo FRAC. Se recomienda no superar 2-3 aplicaciones por ciclo y rotar con multi-sitios como Mancozeb o Cobre."
¿cómo afecta el Trichoderma harzianum a la biota del suelo?,"El impacto de Trichoderma harzianum en la biota del suelo depende del modo de aplicación. Aplicado por tratamiento al suelo, su contacto con el suelo es directo. evitar levantar polvo, usar mascarilla. Se recomienda monitorear la microbiota benéfica en aplicaciones continuas."
¿cuál es la selectividad del Trichoderma harzianum hacia hongos benéficos?,"Trichoderma harzianum (biofungicida BM02, micoparasitismo y competencia) puede afectar hongos benéficos como micorrizas si se aplica al suelo. Su aplicación por tratamiento al suelo reduce este riesgo. evitar levantar polvo, usar mascarilla."
"me vendieron Metalaxil-M en el almacén, ¿sirve para mi Passiflora spp.?","Sí, Metalaxil-M es un fungicida que se usa para controlar Oomicetos en Passiflora spp.. Se aplica por drench o foliar. Recuerda usar guantes y overol al aplicarlo. usar siempre en mezcla con fungicidas de contacto."
cómo se echa el Metalaxil-M,"Metalaxil-M se aplica mediante drench o foliar. Antes de aplicarlo usa tu equipo de protección: overol, guantes, gafas y tapabocas. Ten en cuenta que OMS clase III, irritante ocular. usar siempre en mezcla con fungicidas de contacto."
el Metalaxil-M es malo para la salud,"Como todo fungicida, Metalaxil-M requiere precaución. Sus riesgos son: OMS clase III, irritante ocular. Para protegerte: usar siempre en mezcla con fungicidas de contacto. Siempre usa tu equipo de protección completo."
para qué sirve el Metalaxil-M,Metalaxil-M sirve para controlar Oomicetos en cultivos de Passiflora spp.. Se aplica por drench o foliar y actúa como inhibidor de ARN polimerasa I FRAC 4. Es importante seguir las instrucciones de la etiqueta.
me salpiqué con Metalaxil-M qué hago,"Si te salpicaste con Metalaxil-M: lava inmediatamente la zona afectada con agua y jabón durante 15 minutos. Si fue en los ojos, lava con agua abundante por 15 minutos. Recuerda que este producto tiene estos riesgos: OMS clase III, irritante ocular. Si los síntomas persisten, ve al médico con la etiqueta del producto."
¿cuál es el código FRAC del Metalaxil-M?,Metalaxil-M actúa como inhibidor de ARN polimerasa I FRAC 4. Conocer el código FRAC es clave para rotar correctamente y evitar resistencias en Oomicetos.
¿cuál es el modo de acción del Metalaxil-M sobre Oomicetos?,"Metalaxil-M controla Oomicetos en Passiflora spp. mediante inhibidor de ARN polimerasa I FRAC 4. Se aplica por drench o foliar. Para evitar resistencia, rotar con fungicidas de diferente código FRAC."
¿puedo mezclar Metalaxil-M con otros fungicidas?,"Metalaxil-M se puede mezclar con fungicidas de diferente modo de acción para ampliar el espectro. Su modo de acción es inhibidor de ARN polimerasa I FRAC 4. Antes de mezclar, verifica compatibilidad en etiqueta. usar siempre en mezcla con fungicidas de contacto."
¿cada cuánto se aplica Metalaxil-M?,"La frecuencia de Metalaxil-M depende de la presión de enfermedad, pero generalmente no se recomienda más de 3 aplicaciones por ciclo del mismo modo de acción para evitar resistencia. Su uso es para Oomicetos en Passiflora spp. por drench o foliar."
¿Metalaxil-M tiene periodo de carencia?,"Sí, Metalaxil-M tiene periodo de carencia que debe respetarse antes de cosechar. Revisa siempre la etiqueta del producto registrado en tu región. Recuerda que usar siempre en mezcla con fungicidas de contacto."
